Date,Actual,Predicted
2014-03-05,[31.56790924],31.385574111938478
2014-03-06,[31.611166],31.47765016555786
2014-03-07,[31.51596451],31.5321622467041
2014-03-10,[31.46405983],31.52384677886963
2014-03-11,[31.39484024],31.46422779083252
2014-03-12,[31.4467392],31.44493936538696
2014-03-13,[31.02272987],31.403047885894775
2014-03-14,[30.83234787],30.67010087966919
2014-03-17,[31.19580078],31.09057207107544
2014-03-18,[31.6025238],31.34887945175171
2014-03-19,[31.47271156],31.24382677078247
2014-03-20,[31.71500587],31.5149444770813
2014-03-21,[31.55597687],31.578715686798095
2014-03-24,[31.52990913],31.499824771881105
2014-03-25,[31.72109795],31.59239253997803
2014-03-26,[31.33869743],31.215967197418212
2014-03-27,[31.22572327],31.212434787750244
2014-03-28,[31.34739494],31.376760025024414
2014-03-31,[31.59073639],31.546163997650147
2014-04-01,[31.96442986],31.602590370178223
2014-04-02,[31.98182297],31.757770023345948
2014-04-03,[31.82538033],31.93041248321533
2014-04-04,[31.21703148],31.38011751174927
2014-04-07,[30.97369576],31.05745185852051
2014-04-08,[31.25179291],31.10387451171875
2014-04-09,[31.66894722],31.28459749221802
2014-04-10,[30.93892288],31.084903984069825
2014-04-11,[30.59129906],31.008293952941894
2014-04-14,[30.89547348],31.28735773086548
2014-04-15,[31.05190277],31.285222568511962
2014-04-16,[31.35609627],31.4055952835083
2014-04-17,[31.31262207],31.597464542388916
2014-04-21,[31.43430138],31.425242977142332
2014-04-22,[31.56466866],31.337269916534424
2014-04-23,[31.22572327],31.223005390167238
2014-04-24,[31.46905708],31.402371673583986
2014-04-25,[31.06929016],31.267165508270264
2014-04-28,[31.36477089],31.59446346282959
2014-04-29,[31.58203697],31.54040687561035
2014-04-30,[31.67764282],31.56858112335205
2014-05-01,[31.71240616],31.73244285583496
2014-05-02,[31.62548447],31.688149757385254
2014-05-05,[31.79062462],31.690586471557616
2014-05-06,[31.43430138],31.47662263870239
2014-05-07,[31.45169258],31.428129615783693
2014-05-08,[31.53857422],31.467850933074953
2014-05-09,[31.57334137],31.612109546661376
2014-05-12,[31.99918938],31.716833724975587
2014-05-13,[32.0165863],31.86257736206055
2014-05-14,[31.86883926],31.939667949676515
2014-05-15,[31.67764282],31.846068801879884
2014-05-16,[31.87752914],31.809133853912353
2014-05-19,[32.08610916],31.798617439270018
2014-05-20,[31.90360451],31.61567569732666
2014-05-21,[32.12086105],31.978863010406496
2014-05-22,[32.18169785],31.981469650268554
2014-05-23,[32.4510994],32.063854751586916
2014-05-27,[32.72922516],32.27824695587158
2014-05-28,[32.6423111],32.476145553588864
2014-05-29,[32.83350754],32.59512086868286
2014-05-30,[32.86825562],32.74477474212647
2014-06-02,[32.81612015],32.581209411621096
2014-06-03,[32.76398468],32.70600793838501
2014-06-04,[32.82481766],32.725220642089845
2014-06-05,[33.04207993],32.73286645889282
2014-06-06,[33.18981934],32.84558309555054
2014-06-09,[33.29411697],33.08727020263672
2014-06-10,[33.31148529],33.13872215270996
2014-06-11,[33.23327255],33.191820526123045
2014-06-12,[32.9464798],33.03886503219604
2014-06-13,[33.13768768],32.93987564086914
2014-06-16,[33.13768768],32.9593473815918
2014-06-17,[33.21590805],33.11561122894287
2014-06-18,[33.38971329],33.16558494567871
2014-06-19,[33.3288765],33.238581047058105
2014-06-20,[33.25553131],33.2224174118042
2014-06-23,[33.35157394],33.2994873046875
2014-06-24,[33.17695999],33.16392366409302
2014-06-25,[33.30791855],33.19442808151245
2014-06-26,[33.27299881],33.26323383331299
2014-06-27,[33.4738121],33.27583610534668
2014-06-30,[33.48254395],33.3227953338623
2014-07-01,[33.82304382],33.38244552612305
2014-07-02,[33.85796738],33.5654609298706
2014-07-03,[34.00639725],33.752552909851076
2014-07-07,[34.04129791],33.854571228027346
2014-07-08,[33.73574066],33.894970932006835
2014-07-09,[33.90161133],33.79550914764404
2014-07-10,[33.80557632],33.82173007965088
2014-07-11,[33.98018265],33.845564918518065
2014-07-14,[34.22465897],33.92195255279541
2014-07-15,[34.1635437],34.07623222351074
2014-07-16,[34.47784805],34.13787292480469
2014-07-17,[34.03256989],34.21330753326416
2014-07-18,[34.44293213],34.23521778106689
2014-07-21,[34.39927292],34.20212905883789
2014-07-22,[34.68738556],34.37674861907959
2014-07-23,[34.74850464],34.48177669525146
2014-07-24,[34.72231293],34.63535228729248
2014-07-25,[34.67865372],34.59117523193359
2014-07-28,[34.73975754],34.62059761047363
2014-07-29,[34.66992569],34.64530059814453
2014-07-30,[34.70484161],34.681620025634764
2014-07-31,[34.05003357],34.65953437805176
2014-08-01,[33.8666954],34.62190479278564
2014-08-04,[34.1111412],34.47950511932373
2014-08-05,[33.78811646],34.042354316711425
2014-08-06,[33.68335342],34.0009720993042
2014-08-07,[33.54365158],33.8169295501709
2014-08-08,[33.76192474],33.86529525756836
2014-08-11,[33.92780304],33.804529647827145
2014-08-12,[33.91033936],33.83919105529785
2014-08-13,[34.24211121],34.170871620178225
2014-08-14,[34.3032341],34.2050093460083
2014-08-15,[34.3032341],34.19296165466309
2014-08-18,[34.62627411],34.19444362640381
2014-08-19,[34.84454727],34.48361141204834
2014-08-20,[34.84454727],34.739162826538085
2014-08-21,[35.01042938],34.79486637115478
2014-08-22,[35.01916122],34.9119457244873
2014-08-25,[35.05407715],34.93324901580811
2014-08-26,[35.07153702],34.826030235290524
2014-08-27,[35.06280899],34.966244773864744
2014-08-28,[35.01042938],34.97471424102783
2014-08-29,[35.16757965],35.01252105712891
2014-09-02,[35.17631149],35.09982913970947
2014-09-03,[34.98422623],35.0917964553833
2014-09-04,[34.96677399],35.04281364440918
2014-09-05,[35.17631149],35.03574462890625
2014-09-08,[35.22868347],35.052332420349124
2014-09-09,[34.97550964],34.68878131866455
2014-09-10,[35.18503952],35.061585578918454
2014-09-11,[35.26362228],35.13928848266602
2014-09-12,[35.11520004],35.0625492477417
2014-09-15,[34.90565491],34.656829376220706
2014-09-16,[35.16757965],35.11344940185547
2014-09-17,[35.23742676],35.1773579788208
2014-09-18,[35.44694901],35.175874366760254
2014-09-19,[35.37154388],35.21524662017822
2014-09-22,[35.13480759],35.21449317932129
2014-09-23,[35.05589676],35.186717109680174
2014-09-24,[35.2838707],35.31936679840088
2014-09-25,[34.51225281],34.94798332214356
2014-09-26,[34.88928604],34.85956916809082
2014-09-29,[34.88052368],34.909214630126954
2014-09-30,[34.98574066],34.96587772369385
2014-10-01,[34.44210815],34.695998191833496
2014-10-02,[34.42457962],34.82052486419678
2014-10-03,[34.7051506],34.95829277038574
2014-10-06,[34.71392822],34.82786849975586
2014-10-07,[34.17029572],34.5296696472168
2014-10-08,[34.81914139],34.88874828338623
2014-10-09,[34.24043655],34.44442367553711
2014-10-10,[33.36360168],34.26463954925537
2014-10-13,[32.99533081],33.92982318878174
2014-10-14,[33.04794312],33.37079200744629
2014-10-15,[32.81996155],33.22250499725342
2014-10-16,[32.62705231],32.99568111419678
2014-10-17,[33.01285934],33.2477702331543
2014-10-20,[33.24960327],33.08572925567627
2014-10-21,[33.89847565],33.71706642150879
2014-10-22,[33.74064255],33.8724507522583
2014-10-23,[34.11766815],33.83922805786133
2014-10-24,[34.41579056],33.88566303253174
2014-10-27,[34.45087814],34.05078971862793
2014-10-28,[34.92435837],34.19794677734375
2014-10-29,[34.88928604],34.69929084777832
2014-10-30,[35.00328064],34.73745552062988
2014-10-31,[35.54690933],34.857460479736325
2014-11-03,[35.69597244],35.13234691619873
2014-11-04,[35.6872139],35.39907821655274
2014-11-05,[35.7836647],35.60592742919922
2014-11-06,[35.76612473],35.69396430969238
2014-11-07,[35.80997086],35.74402954101563
2014-11-10,[35.90641022],35.77340560913086
2014-11-11,[35.92395782],35.842231330871584
2014-11-12,[36.03794861],35.883445739746094
2014-11-13,[36.23085403],35.95990909576416
2014-11-14,[36.48513031],36.08161491394043
2014-11-17,[36.41499329],36.13667819976806
2014-11-18,[36.53774261],36.27636089324951
2014-11-19,[36.30099869],36.32379806518555
2014-11-20,[36.48513031],36.30056121826172
2014-11-21,[36.53774261],36.42191268920899
2014-11-24,[36.7306633],36.47776618957519
2014-11-25,[36.74818039],36.5758065032959
2014-11-26,[37.08138275],36.66945072174072
2014-11-28,[37.2567482],36.771335983276366
2014-12-01,[36.83586884],36.49302547454834
2014-12-02,[36.84463501],36.6875080871582
2014-12-03,[36.97615814],36.79842712402344
2014-12-04,[36.97615814],36.868221817016604
2014-12-05,[36.93231201],36.90364437103271
2014-12-08,[36.55528641],36.937662315368655
2014-12-09,[36.54651642],36.80026699066162
2014-12-10,[35.99410629],36.56790775299072
2014-12-11,[36.15192413],36.235936393737795
2014-12-12,[35.6170578],36.108001174926756
2014-12-15,[35.39786148],35.80224765777588
2014-12-16,[34.92435837],35.524560623168945
2014-12-17,[35.58198547],35.35392402648926
2014-12-18,[36.59912109],35.68861148834228
2014-12-19,[36.63965607],36.14772445678711
2014-12-22,[37.08036423],36.501399192810055
2014-12-23,[37.17732239],36.7710192489624
2014-12-24,[37.14205551],36.961640434265135
2014-12-26,[37.30070877],36.98424537658691
2014-12-29,[37.11562347],36.80749507904053
2014-12-30,[36.85119247],36.892631187438965
2014-12-31,[36.44574738],36.16665744781494
2015-01-02,[36.37524796],36.40240036010742
2015-01-05,[35.81996536],36.136293983459474
2015-01-06,[35.38808441],35.844666442871095
2015-01-07,[35.68776321],35.71107669830322
2015-01-08,[36.47220993],36.8438162612915
2015-01-09,[36.35761642],36.55753734588623
2015-01-12,[35.9345665],36.471217765808106
2015-01-13,[35.90811157],36.34845317840576
2015-01-14,[35.70538712],36.077242050170895
2015-01-15,[35.24706268],35.596375732421876
2015-01-16,[35.5908165],35.759634742736814
2015-01-20,[35.89047623],35.85792728424072
2015-01-21,[35.95217133],35.99072444915772
2015-01-22,[36.54271698],36.431282081604
2015-01-23,[36.53390121],36.52271224975586
2015-01-26,[36.38405991],36.565172080993655
2015-01-27,[35.33520889],36.1213447189331
2015-01-28,[35.27350998],35.79388038635254
2015-01-29,[35.60843658],35.551326026916506
2015-01-30,[35.16772842],35.4216633605957
2015-02-02,[35.52910233],35.595551109313966
2015-02-03,[35.9345665],36.24548942565918
2015-02-04,[36.00505447],36.24463130950928
2015-02-05,[36.33997726],36.1278381729126
2015-02-06,[36.22541046],36.26207050323487
2015-02-09,[36.17252731],36.21650547027588
2015-02-10,[36.71016693],36.32456577301026
2015-02-11,[36.85119247],36.4811003112793
2015-02-12,[37.35361481],36.60625705718994
2015-02-13,[37.59157181],36.75874717712402
2015-02-17,[37.60918808],37.17731842041016
2015-02-18,[37.64445114],37.22314636230469
2015-02-19,[37.77666473],37.413615684509274
2015-02-20,[37.97057343],36.81100891113281
2015-02-23,[37.99702072],37.29630451202392
2015-02-24,[38.1116066],37.29031387329101
2015-02-25,[37.87363434],37.624453697204586
2015-02-26,[38.1116066],37.84604183197021
2015-02-27,[37.97939682],37.91752449035644
2015-03-02,[38.27906418],38.02452438354492
2015-03-03,[38.0234642],37.957976837158206
2015-03-04,[37.87363434],37.98071712493896
2015-03-05,[37.82955933],37.64913833618164
2015-03-06,[37.3624115],37.46139858245849
2015-03-09,[37.53868103],37.35554000854492
2015-03-10,[36.7718811],37.43468318939209
2015-03-11,[36.53390121],37.23231712341308
2015-03-12,[36.7718811],36.88046585083008
2015-03-13,[36.56915283],36.90426486968994
2015-03-16,[37.00105286],36.89888809204101
2015-03-17,[37.00985336],36.836397666931155
2015-03-18,[37.51224518],37.113596229553224
2015-03-19,[37.40648651],37.22323760986328
2015-03-20,[37.64809418],37.381272888183595
2015-03-23,[37.64809418],37.35572490692139
2015-03-24,[37.52419281],37.46564800262451
